Data,Regiao,Tipo de Problema,Severidade,Resolvido,Acidentes Estimados,Investimento Estimado (R$ Milhoes),Mes
2024-06-25,Sao Sebastiao,Falta de iluminacao,Media,True,4,292,2024-06
2024-06-25,Aguas Claras,Problemas de drenagem,Media,False,4,100,2024-06
2024-06-25,Vicente Pires,Buracos nas vias,Media,False,5,45,2024-06
2024-06-25,Jardim Botanico,Problemas de drenagem,Media,False,3,101,2024-06
2024-06-26,Vicente Pires,Calcadas esburacadas,Baixa,True,0,46,2024-06
2024-06-26,Asa Norte,Buracos nas vias,Baixa,False,0,40,2024-06
2024-06-26,Asa Norte,Falta de iluminacao,Media,False,3,296,2024-06
2024-06-26,Asa Sul,Falta de iluminacao,Media,True,4,291,2024-06
2024-06-26,Asa Norte,Falta de acessibilidade,Media,True,4,70,2024-06
2024-06-26,Sao Sebastiao,Acumulo de lixo em pracas,Media,False,5,31,2024-06
2024-06-26,Sao Sebastiao,Falta de iluminacao,Alta,True,6,304,2024-06
2024-06-27,Vicente Pires,Problemas de drenagem,Alta,False,11,107,2024-06
2024-06-27,Sol Nascente,Calcadas esburacadas,Baixa,False,0,47,2024-06
2024-06-27,Aguas Claras,Acumulo de lixo em pracas,Baixa,False,0,39,2024-06
2024-06-27,Vicente Pires,Falta de iluminacao,Media,False,4,296,2024-06
2024-06-27,Sol Nascente,Falta de acessibilidade,Media,False,3,71,2024-06
2024-06-28,Asa Norte,Falta de iluminacao,Alta,True,8,293,2024-06
2024-06-28,Asa Norte,Buracos nas vias,Media,False,2,53,2024-06
2024-06-28,Asa Sul,Buracos nas vias,Media,False,5,57,2024-06
2024-06-29,Aguas Claras,Falta de iluminacao,Media,False,3,295,2024-06
2024-06-29,Jardim Botanico,Falta de acessibilidade,Media,False,5,82,2024-06
2024-06-29,Asa Sul,Buracos nas vias,Baixa,False,2,58,2024-06
2024-06-29,Jardim Botanico,Buracos nas vias,Alta,False,7,54,2024-06
2024-06-30,Sol Nascente,Acumulo de lixo em pracas,Baixa,True,2,31,2024-06
2024-06-30,Sao Sebastiao,Falta de acessibilidade,Baixa,False,1,75,2024-06
2024-06-30,Asa Norte,Buracos nas vias,Media,False,3,45,2024-06
2024-06-30,Vicente Pires,Falta de sinalizacao,Media,False,5,50,2024-06
2024-06-30,Vicente Pires,Calcadas esburacadas,Alta,False,7,38,2024-06
2024-06-30,Sao Sebastiao,Buracos nas vias,Media,True,2,43,2024-06
2024-06-30,Aguas Claras,Calcadas esburacadas,Media,False,2,37,2024-06
2024-06-30,Vicente Pires,Falta de iluminacao,Alta,True,7,307,2024-06
2024-06-30,Asa Norte,Falta de sinalizacao,Alta,False,9,53,2024-06
2024-07-01,Vicente Pires,Calcadas esburacadas,Alta,False,10,36,2024-07
2024-07-01,Jardim Botanico,Calcadas esburacadas,Baixa,True,2,42,2024-07
2024-07-01,Asa Sul,Buracos nas vias,Baixa,False,2,51,2024-07
2024-07-01,Aguas Claras,Falta de iluminacao,Media,True,2,305,2024-07
2024-07-01,Aguas Claras,Acumulo de lixo em pracas,Alta,False,10,32,2024-07
2024-07-01,Vicente Pires,Buracos nas vias,Alta,True,9,49,2024-07
2024-07-01,Asa Sul,Buracos nas vias,Alta,False,8,44,2024-07
2024-07-01,Jardim Botanico,Falta de iluminacao,Media,False,2,297,2024-07
2024-07-01,Asa Norte,Calcadas esburacadas,Media,True,4,37,2024-07
2024-07-01,Asa Sul,Buracos nas vias,Media,False,2,49,2024-07
2024-07-02,Jardim Botanico,Calcadas esburacadas,Baixa,False,0,32,2024-07
2024-07-02,Sao Sebastiao,Buracos nas vias,Alta,False,10,41,2024-07
2024-07-02,Jardim Botanico,Falta de iluminacao,Alta,False,10,292,2024-07
2024-07-02,Vicente Pires,Buracos nas vias,Media,True,5,46,2024-07
2024-07-02,Asa Norte,Falta de iluminacao,Alta,False,9,303,2024-07
2024-07-02,Sol Nascente,Buracos nas vias,Baixa,False,0,40,2024-07
2024-07-03,Sol Nascente,Falta de acessibilidade,Media,True,3,71,2024-07
2024-07-03,Asa Sul,Falta de iluminacao,Baixa,True,0,306,2024-07
2024-07-03,Sao Sebastiao,Calcadas esburacadas,Baixa,True,2,32,2024-07
2024-07-03,Vicente Pires,Falta de acessibilidade,Baixa,False,1,71,2024-07
2024-07-04,Jardim Botanico,Falta de iluminacao,Baixa,False,2,292,2024-07
2024-07-04,Asa Sul,Buracos nas vias,Alta,False,6,58,2024-07
2024-07-04,Sol Nascente,Problemas de drenagem,Media,True,4,99,2024-07
2024-07-05,Asa Norte,Buracos nas vias,Media,False,3,41,2024-07
2024-07-05,Aguas Claras,Acumulo de lixo em pracas,Media,True,3,30,2024-07
2024-07-05,Vicente Pires,Calcadas esburacadas,Baixa,False,1,45,2024-07
2024-07-05,Asa Sul,Buracos nas vias,Alta,True,9,46,2024-07
2024-07-05,Asa Norte,Calcadas esburacadas,Media,True,2,38,2024-07
2024-07-06,Asa Norte,Falta de iluminacao,Baixa,False,2,304,2024-07
2024-07-06,Asa Sul,Problemas de drenagem,Alta,False,9,102,2024-07
2024-07-06,Asa Sul,Calcadas esburacadas,Alta,False,9,41,2024-07
2024-07-06,Jardim Botanico,Buracos nas vias,Baixa,False,0,56,2024-07
2024-07-06,Aguas Claras,Falta de acessibilidade,Media,True,2,77,2024-07
2024-07-06,Asa Norte,Buracos nas vias,Baixa,False,1,55,2024-07
2024-07-06,Aguas Claras,Buracos nas vias,Alta,False,8,53,2024-07
2024-07-06,Vicente Pires,Buracos nas vias,Alta,False,9,52,2024-07
2024-07-06,Sol Nascente,Buracos nas vias,Baixa,True,2,48,2024-07
2024-07-06,Asa Sul,Falta de acessibilidade,Baixa,False,1,77,2024-07
2024-07-06,Aguas Claras,Falta de acessibilidade,Baixa,False,2,79,2024-07
2024-07-07,Jardim Botanico,Buracos nas vias,Alta,False,8,45,2024-07
2024-07-07,Asa Norte,Buracos nas vias,Alta,True,5,55,2024-07
2024-07-07,Sol Nascente,Falta de iluminacao,Baixa,True,0,304,2024-07
2024-07-08,Aguas Claras,Calcadas esburacadas,Alta,False,6,50,2024-07
2024-07-08,Vicente Pires,Calcadas esburacadas,Alta,True,9,33,2024-07
2024-07-08,Asa Norte,Buracos nas vias,Media,False,2,52,2024-07
2024-07-08,Asa Sul,Falta de acessibilidade,Baixa,False,2,82,2024-07
2024-07-08,Asa Sul,Problemas de drenagem,Media,False,2,95,2024-07
2024-07-08,Asa Norte,Buracos nas vias,Baixa,False,2,48,2024-07
2024-07-08,Asa Sul,Falta de sinalizacao,Alta,True,11,53,2024-07
2024-07-08,Asa Sul,Falta de acessibilidade,Alta,True,10,87,2024-07
2024-07-08,Vicente Pires,Calcadas esburacadas,Alta,False,11,38,2024-07
2024-07-09,Vicente Pires,Calcadas esburacadas,Baixa,False,2,40,2024-07
2024-07-09,Aguas Claras,Falta de acessibilidade,Media,False,3,70,2024-07
2024-07-09,Sol Nascente,Falta de iluminacao,Alta,True,7,299,2024-07
2024-07-09,Asa Sul,Falta de acessibilidade,Media,False,4,87,2024-07
2024-07-09,Sao Sebastiao,Calcadas esburacadas,Media,False,3,32,2024-07
2024-07-09,Sol Nascente,Buracos nas vias,Media,True,3,47,2024-07
2024-07-09,Aguas Claras,Buracos nas vias,Baixa,False,2,54,2024-07
2024-07-10,Asa Sul,Calcadas esburacadas,Alta,False,8,41,2024-07
2024-07-10,Sao Sebastiao,Buracos nas vias,Media,False,4,42,2024-07
2024-07-10,Vicente Pires,Buracos nas vias,Baixa,False,1,50,2024-07
2024-07-10,Asa Norte,Falta de acessibilidade,Alta,False,8,78,2024-07
2024-07-10,Asa Norte,Problemas de drenagem,Baixa,False,1,96,2024-07
2024-07-10,Vicente Pires,Falta de iluminacao,Alta,True,11,293,2024-07
2024-07-10,Sol Nascente,Buracos nas vias,Alta,False,6,46,2024-07
2024-07-10,Sao Sebastiao,Problemas de drenagem,Media,False,4,92,2024-07
2024-07-11,Sol Nascente,Buracos nas vias,Baixa,False,2,49,2024-07
2024-07-11,Sao Sebastiao,Buracos nas vias,Media,True,2,51,2024-07
2024-07-11,Sol Nascente,Calcadas esburacadas,Baixa,False,2,38,2024-07
2024-07-11,Sao Sebastiao,Buracos nas vias,Alta,True,7,44,2024-07
2024-07-11,Asa Norte,Calcadas esburacadas,Baixa,False,0,45,2024-07
2024-07-11,Vicente Pires,Falta de sinalizacao,Baixa,False,2,54,2024-07
2024-07-12,Vicente Pires,Buracos nas vias,Media,True,4,43,2024-07
2024-07-12,Vicente Pires,Acumulo de lixo em pracas,Baixa,False,0,22,2024-07
2024-07-12,Vicente Pires,Buracos nas vias,Alta,False,5,40,2024-07
2024-07-12,Asa Norte,Buracos nas vias,Media,True,2,42,2024-07
2024-07-12,Sol Nascente,Acumulo de lixo em pracas,Baixa,False,1,20,2024-07
2024-07-12,Jardim Botanico,Buracos nas vias,Media,False,2,42,2024-07
2024-07-12,Asa Sul,Falta de iluminacao,Alta,True,7,295,2024-07
2024-07-12,Asa Sul,Falta de acessibilidade,Media,True,4,79,2024-07
2024-07-12,Asa Sul,Problemas de drenagem,Media,True,5,93,2024-07
2024-07-13,Sao Sebastiao,Falta de iluminacao,Media,True,4,293,2024-07
2024-07-13,Asa Norte,Falta de acessibilidade,Media,False,3,84,2024-07
2024-07-13,Asa Sul,Falta de sinalizacao,Alta,True,7,50,2024-07
2024-07-13,Asa Sul,Problemas de drenagem,Alta,True,7,107,2024-07
2024-07-13,Vicente Pires,Buracos nas vias,Alta,False,8,45,2024-07
2024-07-13,Vicente Pires,Calcadas esburacadas,Media,False,2,46,2024-07
2024-07-13,Aguas Claras,Falta de acessibilidade,Baixa,True,2,72,2024-07
2024-07-13,Asa Norte,Falta de iluminacao,Alta,True,5,304,2024-07
2024-07-14,Sol Nascente,Calcadas esburacadas,Media,True,4,39,2024-07
2024-07-14,Sao Sebastiao,Falta de iluminacao,Media,True,3,307,2024-07
2024-07-14,Aguas Claras,Falta de iluminacao,Alta,False,5,306,2024-07
2024-07-14,Jardim Botanico,Calcadas esburacadas,Media,True,3,47,2024-07
2024-07-14,Sol Nascente,Calcadas esburacadas,Media,True,5,46,2024-07
2024-07-14,Vicente Pires,Calcadas esburacadas,Media,False,3,42,2024-07
2024-07-14,Sol Nascente,Calcadas esburacadas,Alta,False,7,46,2024-07
2024-07-14,Vicente Pires,Calcadas esburacadas,Media,False,5,40,2024-07
2024-07-14,Sol Nascente,Buracos nas vias,Alta,False,6,44,2024-07
2024-07-15,Sao Sebastiao,Problemas de drenagem,Baixa,False,1,96,2024-07
2024-07-16,Aguas Claras,Calcadas esburacadas,Alta,False,8,49,2024-07
2024-07-16,Asa Norte,Falta de acessibilidade,Alta,True,6,88,2024-07
2024-07-16,Asa Sul,Buracos nas vias,Media,True,5,45,2024-07
2024-07-16,Asa Norte,Calcadas esburacadas,Media,True,2,41,2024-07
2024-07-16,Aguas Claras,Buracos nas vias,Media,True,3,52,2024-07
2024-07-16,Jardim Botanico,Buracos nas vias,Media,True,5,45,2024-07
2024-07-16,Asa Norte,Buracos nas vias,Baixa,True,1,51,2024-07
2024-07-17,Asa Sul,Problemas de drenagem,Media,True,4,108,2024-07
2024-07-17,Sao Sebastiao,Calcadas esburacadas,Media,False,2,41,2024-07
2024-07-17,Vicente Pires,Buracos nas vias,Alta,False,9,40,2024-07
2024-07-17,Vicente Pires,Calcadas esburacadas,Alta,True,5,31,2024-07
2024-07-17,Asa Sul,Falta de iluminacao,Alta,False,6,303,2024-07
2024-07-18,Sao Sebastiao,Problemas de drenagem,Baixa,False,1,90,2024-07
2024-07-18,Asa Sul,Problemas de drenagem,Baixa,False,1,92,2024-07
2024-07-18,Asa Norte,Buracos nas vias,Alta,False,9,46,2024-07
2024-07-19,Asa Norte,Calcadas esburacadas,Baixa,True,0,32,2024-07
2024-07-19,Asa Sul,Acumulo de lixo em pracas,Alta,False,8,24,2024-07
2024-07-19,Asa Norte,Buracos nas vias,Alta,True,6,46,2024-07
2024-07-19,Vicente Pires,Acumulo de lixo em pracas,Media,False,5,30,2024-07
2024-07-19,Sao Sebastiao,Buracos nas vias,Baixa,False,2,49,2024-07
2024-07-19,Asa Sul,Buracos nas vias,Alta,False,11,50,2024-07
2024-07-19,Jardim Botanico,Buracos nas vias,Baixa,True,1,46,2024-07
2024-07-19,Asa Sul,Buracos nas vias,Alta,False,8,52,2024-07
2024-07-19,Sao Sebastiao,Calcadas esburacadas,Alta,False,10,48,2024-07
2024-07-19,Sao Sebastiao,Falta de acessibilidade,Baixa,False,0,72,2024-07
2024-07-20,Asa Sul,Buracos nas vias,Media,True,3,48,2024-07
2024-07-20,Jardim Botanico,Buracos nas vias,Alta,False,8,47,2024-07
2024-07-20,Aguas Claras,Falta de acessibilidade,Alta,True,6,77,2024-07
2024-07-20,Asa Sul,Falta de iluminacao,Media,True,4,292,2024-07
2024-07-20,Asa Norte,Buracos nas vias,Baixa,False,1,44,2024-07
2024-07-20,Sol Nascente,Falta de acessibilidade,Alta,False,9,84,2024-07
2024-07-20,Sol Nascente,Problemas de drenagem,Media,False,2,90,2024-07
2024-07-20,Jardim Botanico,Buracos nas vias,Media,True,5,42,2024-07
2024-07-21,Asa Sul,Calcadas esburacadas,Media,False,5,50,2024-07
2024-07-21,Sol Nascente,Problemas de drenagem,Alta,True,9,96,2024-07
2024-07-21,Sol Nascente,Problemas de drenagem,Media,False,3,106,2024-07
2024-07-21,Asa Sul,Buracos nas vias,Media,False,2,47,2024-07
2024-07-21,Asa Sul,Falta de iluminacao,Alta,False,10,309,2024-07
2024-07-21,Asa Norte,Buracos nas vias,Media,False,2,54,2024-07
2024-07-22,Asa Sul,Problemas de drenagem,Media,True,2,95,2024-07
2024-07-22,Asa Norte,Falta de iluminacao,Media,False,2,308,2024-07
2024-07-22,Vicente Pires,Falta de sinalizacao,Alta,True,8,50,2024-07
2024-07-22,Vicente Pires,Buracos nas vias,Media,True,5,50,2024-07
2024-07-22,Sol Nascente,Problemas de drenagem,Media,True,5,100,2024-07
2024-07-22,Sao Sebastiao,Problemas de drenagem,Alta,False,6,108,2024-07
2024-07-23,Sao Sebastiao,Acumulo de lixo em pracas,Media,False,3,29,2024-07
2024-07-23,Sao Sebastiao,Problemas de drenagem,Alta,False,9,108,2024-07
2024-07-23,Asa Norte,Falta de sinalizacao,Media,True,3,64,2024-07
2024-07-23,Asa Sul,Problemas de drenagem,Baixa,True,0,102,2024-07
2024-07-23,Asa Sul,Falta de acessibilidade,Baixa,True,1,80,2024-07
2024-07-23,Vicente Pires,Calcadas esburacadas,Alta,True,11,44,2024-07
2024-07-24,Asa Norte,Falta de acessibilidade,Media,True,3,79,2024-07
2024-07-24,Sol Nascente,Problemas de drenagem,Baixa,False,2,93,2024-07
2024-07-24,Sol Nascente,Buracos nas vias,Alta,True,7,49,2024-07
2024-07-24,Asa Sul,Buracos nas vias,Alta,False,8,50,2024-07
2024-07-24,Asa Sul,Buracos nas vias,Baixa,True,1,59,2024-07
2024-07-24,Asa Norte,Buracos nas vias,Alta,True,6,59,2024-07
2024-07-24,Jardim Botanico,Calcadas esburacadas,Media,False,5,37,2024-07
2024-07-24,Sao Sebastiao,Problemas de drenagem,Alta,True,6,100,2024-07
2024-07-25,Asa Sul,Falta de sinalizacao,Media,True,3,58,2024-07
2024-07-25,Sao Sebastiao,Falta de iluminacao,Media,False,4,308,2024-07
2024-07-25,Asa Norte,Falta de acessibilidade,Alta,False,10,80,2024-07
2024-07-25,Aguas Claras,Calcadas esburacadas,Media,False,5,32,2024-07
2024-07-25,Jardim Botanico,Calcadas esburacadas,Baixa,False,1,31,2024-07
2024-07-25,Aguas Claras,Problemas de drenagem,Alta,False,9,105,2024-07
2024-07-25,Asa Norte,Calcadas esburacadas,Baixa,True,1,41,2024-07
2024-07-25,Sol Nascente,Buracos nas vias,Media,False,2,59,2024-07
2024-07-25,Aguas Claras,Falta de acessibilidade,Media,True,2,79,2024-07
2024-07-25,Sao Sebastiao,Calcadas esburacadas,Alta,False,5,44,2024-07
2024-07-25,Sol Nascente,Falta de iluminacao,Baixa,False,2,309,2024-07
2024-07-26,Asa Sul,Falta de iluminacao,Media,False,4,299,2024-07
2024-07-26,Asa Norte,Falta de iluminacao,Alta,True,11,309,2024-07
2024-07-26,Sol Nascente,Calcadas esburacadas,Alta,False,7,31,2024-07
2024-07-26,Vicente Pires,Calcadas esburacadas,Media,False,4,35,2024-07
2024-07-26,Asa Norte,Falta de iluminacao,Baixa,True,2,308,2024-07
2024-07-26,Vicente Pires,Calcadas esburacadas,Media,False,2,37,2024-07
2024-07-27,Jardim Botanico,Buracos nas vias,Alta,False,6,50,2024-07
2024-07-27,Jardim Botanico,Problemas de drenagem,Media,True,3,99,2024-07
2024-07-27,Vicente Pires,Buracos nas vias,Media,True,2,42,2024-07
2024-07-27,Jardim Botanico,Falta de sinalizacao,Media,False,2,62,2024-07
2024-07-28,Vicente Pires,Falta de iluminacao,Alta,False,6,295,2024-07
2024-07-28,Jardim Botanico,Falta de sinalizacao,Media,True,2,63,2024-07
2024-07-28,Asa Norte,Buracos nas vias,Media,True,5,46,2024-07
2024-07-28,Sol Nascente,Acumulo de lixo em pracas,Media,False,3,27,2024-07
2024-07-28,Jardim Botanico,Calcadas esburacadas,Media,True,2,48,2024-07
2024-07-28,Asa Sul,Problemas de drenagem,Media,False,4,95,2024-07
2024-07-28,Jardim Botanico,Buracos nas vias,Media,False,4,56,2024-07
2024-07-28,Asa Sul,Buracos nas vias,Baixa,False,2,45,2024-07
2024-07-28,Asa Sul,Falta de iluminacao,Baixa,False,1,301,2024-07
2024-07-29,Sao Sebastiao,Problemas de drenagem,Media,False,2,96,2024-07
2024-07-29,Vicente Pires,Falta de iluminacao,Baixa,False,0,296,2024-07
2024-07-29,Vicente Pires,Falta de iluminacao,Media,True,3,303,2024-07
2024-07-29,Asa Norte,Calcadas esburacadas,Alta,False,5,50,2024-07
2024-07-29,Asa Norte,Problemas de drenagem,Media,False,2,105,2024-07
2024-07-29,Aguas Claras,Falta de acessibilidade,Media,False,3,85,2024-07
2024-07-30,Vicente Pires,Buracos nas vias,Baixa,True,1,52,2024-07
2024-07-30,Sao Sebastiao,Falta de acessibilidade,Media,False,5,70,2024-07
2024-07-30,Asa Sul,Falta de sinalizacao,Media,False,5,60,2024-07
2024-07-30,Asa Sul,Calcadas esburacadas,Media,True,5,36,2024-07
2024-07-31,Asa Sul,Calcadas esburacadas,Alta,True,8,37,2024-07
2024-07-31,Asa Norte,Falta de acessibilidade,Media,True,2,71,2024-07
2024-07-31,Jardim Botanico,Problemas de drenagem,Baixa,False,1,101,2024-07
2024-07-31,Sao Sebastiao,Buracos nas vias,Media,True,4,50,2024-07
2024-07-31,Asa Sul,Buracos nas vias,Alta,False,7,54,2024-07
2024-07-31,Asa Sul,Falta de iluminacao,Media,False,4,294,2024-07
2024-07-31,Vicente Pires,Falta de iluminacao,Baixa,False,2,290,2024-07
2024-07-31,Asa Norte,Falta de acessibilidade,Alta,False,11,81,2024-07
2024-08-01,Asa Sul,Problemas de drenagem,Media,False,5,104,2024-08
2024-08-01,Vicente Pires,Problemas de drenagem,Alta,True,10,94,2024-08
2024-08-01,Sao Sebastiao,Calcadas esburacadas,Baixa,False,1,46,2024-08
2024-08-01,Aguas Claras,Calcadas esburacadas,Alta,True,10,34,2024-08
2024-08-01,Jardim Botanico,Falta de iluminacao,Baixa,True,1,294,2024-08
2024-08-01,Sol Nascente,Calcadas esburacadas,Baixa,False,2,43,2024-08
2024-08-01,Vicente Pires,Buracos nas vias,Baixa,False,1,50,2024-08
2024-08-02,Asa Sul,Calcadas esburacadas,Media,True,4,46,2024-08
2024-08-02,Aguas Claras,Problemas de drenagem,Baixa,False,2,93,2024-08
2024-08-02,Asa Norte,Falta de iluminacao,Alta,False,10,302,2024-08
2024-08-02,Asa Norte,Calcadas esburacadas,Media,False,5,31,2024-08
2024-08-02,Asa Sul,Calcadas esburacadas,Alta,False,11,46,2024-08
2024-08-02,Aguas Claras,Buracos nas vias,Baixa,False,2,49,2024-08
2024-08-02,Jardim Botanico,Calcadas esburacadas,Media,False,2,40,2024-08
2024-08-03,Asa Sul,Buracos nas vias,Media,True,4,46,2024-08
2024-08-03,Asa Sul,Problemas de drenagem,Media,False,2,104,2024-08
2024-08-03,Sao Sebastiao,Buracos nas vias,Baixa,False,0,57,2024-08
2024-08-03,Asa Norte,Problemas de drenagem,Alta,True,6,95,2024-08
2024-08-03,Sol Nascente,Falta de iluminacao,Media,True,5,307,2024-08
2024-08-03,Aguas Claras,Calcadas esburacadas,Baixa,True,1,36,2024-08
2024-08-03,Aguas Claras,Acumulo de lixo em pracas,Baixa,True,1,38,2024-08
2024-08-03,Asa Sul,Problemas de drenagem,Alta,False,10,91,2024-08
2024-08-03,Asa Sul,Calcadas esburacadas,Media,False,3,43,2024-08
2024-08-04,Sol Nascente,Calcadas esburacadas,Baixa,False,2,31,2024-08
2024-08-04,Asa Norte,Buracos nas vias,Alta,False,8,50,2024-08
2024-08-04,Vicente Pires,Problemas de drenagem,Alta,False,6,107,2024-08
2024-08-04,Jardim Botanico,Falta de acessibilidade,Alta,False,7,72,2024-08
2024-08-04,Aguas Claras,Calcadas esburacadas,Media,False,3,50,2024-08
2024-08-04,Asa Sul,Falta de iluminacao,Baixa,False,1,295,2024-08
2024-08-04,Sao Sebastiao,Falta de iluminacao,Alta,False,11,301,2024-08
2024-08-04,Vicente Pires,Calcadas esburacadas,Alta,False,5,47,2024-08
2024-08-05,Jardim Botanico,Buracos nas vias,Baixa,True,1,46,2024-08
2024-08-05,Asa Norte,Buracos nas vias,Alta,True,5,58,2024-08
2024-08-05,Sao Sebastiao,Falta de iluminacao,Media,True,2,293,2024-08
2024-08-05,Jardim Botanico,Buracos nas vias,Alta,True,10,51,2024-08
2024-08-05,Jardim Botanico,Falta de iluminacao,Alta,True,5,299,2024-08
2024-08-05,Asa Norte,Falta de iluminacao,Alta,False,8,307,2024-08
2024-08-05,Asa Sul,Falta de acessibilidade,Media,False,5,84,2024-08
2024-08-05,Asa Norte,Buracos nas vias,Alta,False,9,41,2024-08
2024-08-05,Vicente Pires,Calcadas esburacadas,Baixa,True,1,32,2024-08
2024-08-05,Asa Norte,Buracos nas vias,Baixa,True,0,43,2024-08
2024-08-06,Sao Sebastiao,Buracos nas vias,Media,False,2,55,2024-08
2024-08-06,Aguas Claras,Buracos nas vias,Media,False,4,55,2024-08
2024-08-07,Asa Sul,Buracos nas vias,Alta,False,6,52,2024-08
2024-08-07,Asa Norte,Calcadas esburacadas,Alta,False,6,50,2024-08
2024-08-07,Aguas Claras,Calcadas esburacadas,Alta,False,10,40,2024-08
2024-08-07,Asa Norte,Calcadas esburacadas,Media,False,2,33,2024-08
2024-08-07,Asa Norte,Calcadas esburacadas,Baixa,True,1,41,2024-08
2024-08-07,Asa Sul,Buracos nas vias,Alta,False,11,40,2024-08
2024-08-07,Asa Sul,Acumulo de lixo em pracas,Media,True,5,38,2024-08
2024-08-07,Sol Nascente,Buracos nas vias,Media,True,2,54,2024-08
2024-08-07,Vicente Pires,Falta de iluminacao,Media,False,3,292,2024-08
2024-08-07,Asa Norte,Buracos nas vias,Baixa,False,2,48,2024-08
2024-08-07,Vicente Pires,Buracos nas vias,Baixa,True,2,47,2024-08
2024-08-08,Sol Nascente,Buracos nas vias,Media,False,2,45,2024-08
2024-08-08,Jardim Botanico,Falta de acessibilidade,Media,True,4,77,2024-08
2024-08-08,Asa Sul,Buracos nas vias,Alta,False,11,51,2024-08
2024-08-08,Asa Sul,Calcadas esburacadas,Baixa,False,0,33,2024-08
2024-08-08,Sao Sebastiao,Falta de sinalizacao,Baixa,False,0,58,2024-08
2024-08-09,Aguas Claras,Buracos nas vias,Baixa,False,2,54,2024-08
2024-08-09,Asa Norte,Falta de iluminacao,Alta,False,9,290,2024-08
2024-08-09,Asa Norte,Problemas de drenagem,Media,False,4,98,2024-08
2024-08-09,Aguas Claras,Problemas de drenagem,Alta,False,7,105,2024-08
2024-08-09,Asa Sul,Falta de iluminacao,Media,True,5,293,2024-08
2024-08-09,Vicente Pires,Buracos nas vias,Media,False,3,59,2024-08
2024-08-10,Aguas Claras,Falta de sinalizacao,Media,False,3,58,2024-08
2024-08-10,Sao Sebastiao,Calcadas esburacadas,Baixa,False,2,32,2024-08
2024-08-10,Asa Sul,Buracos nas vias,Media,False,3,46,2024-08
2024-08-10,Asa Sul,Buracos nas vias,Media,True,4,56,2024-08
2024-08-10,Vicente Pires,Buracos nas vias,Alta,False,11,57,2024-08
2024-08-10,Asa Norte,Buracos nas vias,Baixa,False,2,41,2024-08
2024-08-10,Sao Sebastiao,Calcadas esburacadas,Baixa,False,2,46,2024-08
2024-08-10,Asa Norte,Acumulo de lixo em pracas,Alta,False,6,27,2024-08
2024-08-10,Jardim Botanico,Calcadas esburacadas,Media,True,2,50,2024-08
2024-08-10,Jardim Botanico,Buracos nas vias,Alta,False,5,55,2024-08
2024-08-10,Asa Norte,Calcadas esburacadas,Baixa,False,0,36,2024-08
2024-08-10,Sol Nascente,Problemas de drenagem,Baixa,False,2,104,2024-08
2024-08-11,Asa Norte,Buracos nas vias,Alta,True,7,41,2024-08
2024-08-11,Sol Nascente,Buracos nas vias,Baixa,False,0,47,2024-08
2024-08-11,Sol Nascente,Buracos nas vias,Media,False,3,51,2024-08
2024-08-11,Sol Nascente,Calcadas esburacadas,Media,True,3,44,2024-08
2024-08-11,Vicente Pires,Buracos nas vias,Media,False,2,56,2024-08
2024-08-12,Asa Sul,Buracos nas vias,Baixa,True,1,44,2024-08
2024-08-12,Asa Sul,Buracos nas vias,Baixa,True,0,41,2024-08
2024-08-12,Asa Sul,Calcadas esburacadas,Alta,True,7,49,2024-08
2024-08-12,Asa Norte,Problemas de drenagem,Baixa,False,0,109,2024-08
2024-08-12,Asa Sul,Buracos nas vias,Baixa,True,1,41,2024-08
2024-08-12,Jardim Botanico,Problemas de drenagem,Alta,False,8,109,2024-08
2024-08-12,Sol Nascente,Problemas de drenagem,Baixa,False,2,108,2024-08
2024-08-13,Asa Norte,Falta de sinalizacao,Alta,False,6,61,2024-08
2024-08-13,Asa Norte,Falta de iluminacao,Media,True,5,291,2024-08
2024-08-13,Asa Norte,Buracos nas vias,Media,False,3,54,2024-08
2024-08-13,Asa Norte,Falta de iluminacao,Baixa,True,0,291,2024-08
2024-08-13,Asa Sul,Falta de iluminacao,Baixa,True,2,299,2024-08
2024-08-13,Jardim Botanico,Falta de iluminacao,Baixa,True,1,306,2024-08
2024-08-13,Aguas Claras,Problemas de drenagem,Alta,True,11,102,2024-08
2024-08-13,Asa Sul,Buracos nas vias,Media,False,4,58,2024-08
2024-08-13,Asa Norte,Falta de sinalizacao,Media,False,3,62,2024-08
2024-08-14,Asa Norte,Falta de iluminacao,Media,True,3,294,2024-08
2024-08-14,Aguas Claras,Acumulo de lixo em pracas,Media,False,4,28,2024-08
2024-08-14,Jardim Botanico,Buracos nas vias,Baixa,False,1,42,2024-08
2024-08-14,Asa Norte,Buracos nas vias,Baixa,True,1,57,2024-08
2024-08-14,Asa Norte,Falta de iluminacao,Baixa,False,2,294,2024-08
2024-08-14,Asa Sul,Falta de iluminacao,Media,True,5,306,2024-08
2024-08-14,Asa Sul,Calcadas esburacadas,Media,True,4,33,2024-08
2024-08-14,Jardim Botanico,Calcadas esburacadas,Baixa,True,2,32,2024-08
2024-08-14,Aguas Claras,Calcadas esburacadas,Media,True,3,32,2024-08
2024-08-14,Sol Nascente,Calcadas esburacadas,Media,True,3,46,2024-08
2024-08-14,Jardim Botanico,Calcadas esburacadas,Media,True,5,48,2024-08
2024-08-15,Sol Nascente,Falta de sinalizacao,Media,True,2,53,2024-08
